Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1897,-9.2,-9.7,-6.2,-8.1,-1.0,5.3,5.8,5.6,3.4,0.2,-4.9,-7.8,-9.77,-5.1,5.57,-0.43,-2.22
1898,-12.4,-16.7,-7.8,-5.1,-0.5,3.3,4.4,4.1,1.2,-2.1,-7.6,-11.4,-12.3,-4.47,3.93,-2.83,-4.22
1899,-10.7,-10.7,-6.9,-3.4,0.7,4.7,6.0,6.0,3.0,-2.4,-6.1,-8.8,-10.93,-3.2,5.57,-1.83,-2.38
1900,-10.5,-5.3,-3.3,-5.6,1.6,5.5,7.8,7.5,2.7,-1.2,-6.2,-10.0,-8.2,-2.43,6.93,-1.57,-1.42
1901,-10.4,0.9,-6.2,-5.6,0.6,3.5,6.2,5.5,2.7,-1.9,-2.3,-6.0,-6.5,-3.73,5.07,-0.5,-1.08
1902,-9.5,-6.2,-9.3,-4.1,1.4,5.7,6.2,7.0,4.1,-0.4,-5.3,-9.8,-7.23,-4.0,6.3,-0.53,-1.68
1903,-9.3,-9.8,-12.5,-4.2,-1.1,3.3,5.8,6.2,4.3,0.7,-2.5,-3.4,-9.63,-5.93,5.1,0.83,-1.87
1904,-10.8,-10.0,-10.1,-8.6,0.0,5.3,6.4,7.6,2.1,-3.5,-3.5,-4.6,-8.07,-6.23,6.43,-1.63,-2.48
1905,-12.4,-8.7,-6.3,0.1,1.1,2.8,6.2,6.3,2.6,0.9,-2.6,-10.2,-8.57,-1.7,5.1,0.3,-1.68
1906,-11.9,-14.2,-7.7,-7.2,1.5,4.2,4.4,7.3,3.9,-1.7,-5.8,-8.4,-12.1,-4.47,5.3,-1.2,-2.97
1907,-10.7,-11.5,-14.0,-5.8,0.9,2.6,5.6,6.9,2.4,-0.5,-4.9,-10.0,-10.2,-6.3,5.03,-1.0,-3.25
1908,-10.3,-10.2,-7.5,-1.4,-0.3,3.1,8.2,6.0,4.8,-2.1,-3.5,-8.0,-10.17,-3.07,5.77,-0.27,-1.77
1909,-12.4,-9.0,-1.8,-2.8,1.9,6.0,6.0,5.6,4.2,-2.3,-3.3,-10.4,-9.8,-0.9,5.87,-0.47,-1.52
1910,-10.4,-14.3,-9.4,-3.1,0.1,2.4,6.6,7.7,2.4,-1.0,-5.3,-6.4,-11.7,-4.13,5.57,-1.3,-2.56
1911,-11.2,-13.7,-7.5,-3.2,-0.8,3.0,6.6,7.4,4.0,0.7,-3.7,-10.4,-10.43,-3.83,5.67,0.33,-2.4
1912,-7.7,-5.2,-7.0,-2.4,0.3,5.2,5.6,6.2,4.0,-1.5,-3.7,-7.6,-7.77,-3.03,5.67,-0.4,-1.15
1913,-9.5,-7.1,-10.7,-5.3,-0.3,4.9,5.4,4.8,3.5,-0.7,-8.0,-10.8,-8.07,-5.43,5.03,-1.73,-2.82
1914,-11.8,-10.2,-8.0,-5.0,-1.9,1.0,4.4,4.9,2.2,-0.7,-4.0,-12.0,-10.93,-4.97,3.43,-0.83,-3.43
1915,-11.3,-9.1,-5.0,-5.4,2.2,3.6,6.8,6.4,5.5,0.0,-1.2,-3.6,-10.8,-2.73,5.6,1.43,-0.93
1916,-7.5,-8.5,0.2,-3.8,2.9,5.3,6.2,7.6,5.5,-1.2,-3.1,-3.2,-6.53,-0.23,6.37,0.4,0.03
1917,-1.3,-4.3,-5.2,-2.8,1.1,4.8,8.4,7.8,2.9,-2.3,-5.3,-7.4,-2.93,-2.3,7.0,-1.57,-0.3
1918,-7.0,-12.7,-9.3,-8.2,-0.5,1.3,5.8,5.7,3.6,-1.4,-6.6,-8.4,-9.03,-6.0,4.27,-1.47,-3.14
1919,-8.2,-8.2,-5.3,-5.2,1.0,1.7,6.4,6.1,3.1,0.8,-2.5,-5.8,-8.27,-3.17,4.73,0.47,-1.34
1920,-11.3,-9.7,-9.9,-2.1,0.0,5.0,6.0,4.6,2.3,-1.1,-7.4,-7.4,-8.93,-4.0,5.2,-2.07,-2.58
1921,-10.8,-12.9,-11.2,-6.1,1.2,3.0,5.6,6.5,2.9,-1.2,-2.5,-8.8,-10.37,-5.37,5.03,-0.27,-2.86
1922,-11.4,-15.1,-6.5,-1.2,0.8,1.0,5.2,6.4,2.1,0.4,-3.5,-6.0,-11.77,-2.3,4.2,-0.33,-2.32
1923,-11.3,-4.6,-6.4,-2.1,2.5,5.2,6.8,5.9,3.1,0.2,-2.5,-5.2,-7.3,-2.0,5.97,0.27,-0.7
1924,-6.2,-6.6,-4.6,-1.8,3.1,6.6,7.0,6.7,3.2,-1.7,-3.4,-10.8,-6.0,-1.1,6.77,-0.63,-0.71
1925,-10.7,-12.3,-5.8,-5.8,0.3,3.2,6.2,5.6,4.1,0.4,-1.7,-2.0,-11.27,-3.77,5.0,0.93,-1.54
1926,-6.0,-6.8,-7.0,-2.8,2.9,6.5,7.6,6.7,3.2,1.6,-4.2,-4.4,-4.93,-2.3,6.93,0.2,-0.22
1927,-7.0,-9.0,-7.8,-3.2,2.7,5.4,6.2,7.1,5.3,0.1,-2.8,-4.2,-6.8,-2.77,6.23,0.87,-0.6
1928,-8.1,-9.7,-3.2,-1.9,3.7,6.4,7.8,8.4,5.5,0.4,-2.1,-4.8,-7.33,-0.47,7.53,1.27,0.2
1929,-1.6,-4.9,-3.4,0.1,3.7,6.0,8.2,7.7,3.3,-0.7,-4.6,-8.4,-3.77,0.13,7.3,-0.67,0.45
1930,-10.1,-8.7,-2.8,-2.0,2.6,4.5,7.0,6.6,6.1,0.1,-3.8,-6.8,-9.07,-0.73,6.03,0.8,-0.61
1931,-4.6,-7.7,-9.3,-4.8,3.1,6.3,8.0,8.4,6.3,-0.4,-6.8,-7.4,-6.37,-3.67,7.57,-0.3,-0.74
1932,-10.7,-3.5,-1.1,-0.9,4.1,5.5,8.6,7.2,4.5,0.5,-4.2,-8.8,-7.2,0.7,7.1,0.27,0.1
1933,-11.2,-4.8,-6.5,-2.4,2.5,4.3,8.2,7.9,3.7,-0.1,-2.7,-6.0,-8.27,-2.13,6.8,0.3,-0.59
1934,-8.7,-9.1,-8.8,-1.1,-0.2,5.1,8.8,7.2,3.6,-0.2,-2.2,-4.6,-7.93,-3.37,7.03,0.4,-0.85
1935,-9.5,-10.1,-5.1,-0.5,4.5,6.2,8.0,7.6,5.9,-0.7,-4.5,-5.2,-8.07,-0.37,7.27,0.23,-0.28
1936,-3.1,-3.5,-5.1,-1.5,2.2,5.1,9.4,7.1,4.7,0.1,-2.8,-10.13471590909091,-3.93,-1.47,7.2,0.67,0.28
1937,-12.427493606138109,-9.306099744245525,-2.0949744245524293,-6.472199488491048,-0.0017647058823530154,4.568107416879795,6.427902813299234,5.994347826086955,3.583409090909091,-1.1243181818181818,-1.4345454545454541,-6.759715909090909,-10.611764705882353,-2.8571227621483377,5.665537084398977,0.34264204545454546,-1.7724320652173915
1938,-9.927493606138109,-9.506099744245525,-9.59497442455243,-5.472199488491048,1.098235294117647,3.568107416879795,5.027902813299235,5.694347826086955,3.583409090909091,-2.4243181818181823,-6.134545454545455,-9.40971590909091,-8.721764705882354,-4.657122762148338,4.765537084398979,-1.6573579545454546,-2.7074320652173913
1939,-4.927493606138109,-10.106099744245526,-8.09497442455243,-1.172199488491049,1.898235294117647,5.868107416879795,8.027902813299235,5.994347826086955,4.683409090909091,0.37568181818181823,-4.034545454545454,-5.209715909090909,-8.136764705882353,-2.457122762148338,6.630537084398977,0.34264204545454546,-0.7624320652173913
1940,-6.427493606138109,-3.606099744245525,-4.694974424552429,-1.372199488491049,1.4982352941176469,4.668107416879795,7.077902813299234,4.694347826086955,2.283409090909091,-0.5243181818181818,-4.334545454545454,-5.209715909090909,-5.071764705882353,-1.5271227621483376,5.480537084398978,-0.8573579545454545,-0.5274320652173913
1941,-3.827493606138109,-4.506099744245525,-2.2949744245524295,-1.0721994884910488,2.698235294117647,6.168107416879795,7.2279028132992345,7.994347826086955,4.38340909090909,1.6756818181818183,-4.234545454545454,-7.4097159090909095,-4.506764705882354,-0.2271227621483376,7.130537084398977,0.6076420454545455,0.6325679347826088
1942,-7.627493606138108,-4.606099744245525,-5.694974424552429,-5.272199488491049,2.498235294117647,5.9681074168797945,7.827902813299234,7.2943478260869545,3.483409090909091,-1.8243181818181817,-2.034545454545454,-5.009715909090909,-6.536764705882353,-2.8271227621483375,7.030537084398977,-0.12735795454545454,-0.5474320652173912
1943,-2.7274936061381085,-9.206099744245524,-10.194974424552429,-6.57219948849105,-0.0017647058823530154,3.618107416879795,6.427902813299234,5.444347826086954,3.1334090909090913,-2.1243181818181816,-4.034545454545454,-5.209715909090909,-5.636764705882353,-5.587122762148338,5.160537084398978,-1.0123579545454544,-1.8124320652173913
1944,-10.22749360613811,-7.306099744245525,-6.794974424552429,-2.6721994884910485,-0.30176470588235305,4.768107416879795,6.427902813299234,7.194347826086955,2.583409090909091,-1.3243181818181817,-6.334545454545454,-9.40971590909091,-7.571764705882353,-3.2571227621483376,6.130537084398977,-1.6923579545454546,-1.802432065217391
1945,-5.2274936061381085,-12.406099744245525,-6.294974424552429,-7.272199488491049,0.898235294117647,5.268107416879795,5.827902813299234,5.694347826086955,2.683409090909091,0.7756818181818183,-3.834545454545454,-3.1597159090909095,-9.006764705882354,-4.227122762148338,5.595537084398979,-0.12735795454545454,-1.7174320652173913
1946,-9.22749360613811,-5.306099744245525,-3.794974424552429,-5.372199488491049,2.498235294117647,5.068107416879795,5.827902813299234,6.194347826086955,3.483409090909091,0.47568181818181826,-1.3345454545454543,-2.9597159090909093,-5.886764705882353,-2.2271227621483374,5.695537084398978,0.8726420454545454,-0.41243206521739123
