,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN,_merge
107,1914,-19.1,-25.2,-20.2,-12.6,-3.7,0.9,6.6,5.3,0.5,-2.4,-7.6,-16.8,-19.67,-12.17,4.7098010610079575,-3.17,-7.86,left_only
108,1915,-20.2,-22.2,-18.8,-12.0,1.9,4.7,6.2,6.5,5.7,-1.9,-4.6,-8.5,-19.73,-9.63,6.239801061007958,-0.27,-5.27,left_only
109,1916,-14.3,-14.9,-2.9,-11.5,3.5,3.4,6.0,8.5,4.2,-4.0,-6.0,-10.0,-12.57,-3.63,6.409801061007958,-1.93,-3.17,left_only
110,1917,-15.8,-16.0,-8.7,-7.9,-2.1,2.2,7.5,7.2,2.4,-7.8,-11.2,-15.7,-13.93,-6.23,6.069801061007958,-5.53,-5.49,left_only
111,1918,-24.8,-20.5,-16.8,-14.0,-0.1,0.8,6.0,6.1,2.0,-5.6,-13.1,-14.5,-20.33,-10.3,4.739801061007958,-5.57,-7.87,left_only
112,1919,-18.1,-21.7,-13.2,-16.9,1.9,1.4,5.5,4.9,1.5,-0.5,-4.9,-10.3,-18.1,-9.4,4.3698010610079585,-1.3,-5.87,left_only
113,1920,-20.0,-19.9,-17.9,-6.0,-1.6,5.3,6.8,4.9,1.3,-5.4,-12.3,-12.4,-16.73,-8.5,6.109801061007958,-5.47,-6.43,left_only
114,1921,-17.1,-20.7,-17.3,-12.2,0.2,4.0,7.3,7.1,1.6,-5.0,-4.9,-12.9,-16.73,-9.77,6.569801061007958,-2.77,-5.83,left_only
115,1922,-17.3,-27.8,-14.6,-7.6,-2.1,2.1,6.7,4.9,0.8,-1.0,-8.1,-8.7,-19.33,-8.1,5.009801061007958,-2.77,-6.06,left_only
116,1923,-20.2,-14.2,-12.7,-3.4,0.5,4.9,7.2,6.4,1.2,-4.0,-5.9,-9.2,-14.37,-5.2,6.609801061007958,-2.9,-4.12,left_only
117,1924,-9.8,-16.1,-10.9,-5.1,1.7,6.4,6.4,5.1,0.8,-5.7,-7.7,-16.5,-11.7,-4.77,6.409801061007958,-4.2,-4.28,left_only
118,1925,-21.7,-18.5,-11.2,-10.0,-0.5,3.8,4.8,5.1,3.3,-3.5,-4.6,-6.6,-18.9,-7.23,5.009801061007958,-1.6,-4.97,left_only
119,1926,-11.1,-14.3,-14.7,-7.9,1.1,6.6,8.8,5.9,2.2,-2.3,-7.3,-10.7,-10.67,-7.17,7.5398010610079575,-2.47,-3.64,left_only
120,1927,-10.7,-15.1,-18.3,-8.9,1.2,5.0,6.3,6.9,4.7,-3.6,-7.6,-6.5,-12.17,-8.67,6.509801061007958,-2.17,-3.88,left_only
121,1928,-11.2,-15.1,-5.2,-5.3,2.1,6.4,7.8,8.4,5.1,-0.6,-6.1,-8.7,-10.93,-2.8,7.969801061007958,-0.53,-1.87,left_only
122,1929,-2.9,-6.4,-5.4,-5.0,1.8,4.0,8.0,6.9,1.2,-5.6,-7.6,-11.3,-6.0,-2.87,6.739801061007958,-4.0,-1.86,left_only
123,1930,-14.5,-12.1,-7.1,-4.3,1.3,3.7,7.8,6.7,5.0,-4.0,-8.5,-10.7,-12.63,-3.37,6.509801061007958,-2.5,-3.06,left_only
124,1931,-8.7,-14.0,-17.1,-9.4,1.3,7.5,9.9,8.2,5.3,-3.3,-11.1,-10.7,-11.13,-8.4,8.969801061007956,-3.03,-3.51,left_only
125,1932,-18.1,-3.7,-4.0,-5.8,3.8,5.5,7.6,4.7,2.7,-3.0,-9.5,-12.0,-10.83,-2.0,6.369801061007958,-3.27,-2.65,left_only
126,1933,-18.3,-9.6,-12.0,-9.8,4.4,3.8,8.6,7.1,1.3,-2.9,-5.4,-6.4,-13.3,-5.8,6.939801061007958,-2.33,-3.27,left_only
127,1934,-12.7,-16.5,-14.7,-6.1,-1.7,4.4,8.2,6.1,2.6,-3.8,-5.6,-6.3,-11.87,-7.5,6.669801061007958,-2.27,-3.84,left_only
128,1935,-12.8,-19.4,-9.4,-4.6,0.8,6.5,8.0,6.5,4.7,-3.2,-6.6,-8.4,-12.83,-4.4,7.439801061007958,-1.7,-3.16,left_only
129,1936,-8.3,-8.1,-11.2,-3.9,1.6,4.7,9.4,6.0,2.8,-4.0,-5.7,-13.6,-8.27,-4.5,7.139801061007958,-2.3,-2.53,left_only
130,1937,-17.5,-16.1,-6.5,-11.5,-0.3,3.7,8.0,6.2,3.1,-4.7,-3.3,-10.5,-15.73,-6.1,6.409801061007958,-1.63,-4.12,left_only
131,1938,-17.5,-16.3,-16.4,-9.8,0.2,3.2,6.9,6.9,2.4,-4.6,-10.7,-13.6,-14.77,-8.67,6.109801061007958,-4.3,-5.77,left_only
132,1939,-9.4,-18.9,-14.0,-3.4,2.0,4.6,8.2,4.7,4.3,-0.3,-8.0,-9.6,-13.97,-5.13,6.269801061007958,-1.33,-3.32,left_only
