Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1913,-6.9,-3.6,-8.3,-1.6,3.4,8.0,6.8,5.8,4.3,0.2,-5.6,-8.0,-5.27,-2.17,6.87,-0.37,-0.46
1914,-8.0,-9.1,-7.5,-0.6,1.7,4.0,6.0,6.2,3.3,0.4,-4.0,-13.0,-8.37,-2.13,5.4,-0.1,-1.72
1915,-7.6,-9.5,-0.6,-1.9,5.1,6.2,8.2,7.3,6.4,0.4,-0.1,-2.1,-10.03,0.87,7.23,2.23,0.98
1916,-7.7,-8.6,1.8,-1.1,5.0,6.7,7.0,7.4,6.0,0.7,-3.0,-4.4,-6.13,1.9,7.03,1.23,0.82
1917,-2.3,-2.3,-2.8,-0.1,5.0,7.1,9.4,7.5,3.4,-1.4,-5.5,-4.5,-3.0,0.7,8.0,-1.17,1.12
1918,-4.5,-9.7,-5.6,-2.7,3.1,3.7,8.2,6.4,4.7,-0.1,-6.3,-6.5,-6.23,-1.73,6.1,-0.57,-0.78
1919,-6.1,-5.0,-4.5,-1.6,3.9,4.8,7.4,7.0,4.3,3.5,-1.5,-5.7,-5.87,-0.73,6.4,2.1,0.54
1920,-10.5,-8.8,-9.3,0.4,1.9,6.2,6.4,5.8,3.7,0.3,-7.3,-5.2,-8.33,-2.33,6.13,-1.1,-1.37
1921,-8.0,-10.1,-8.4,-2.8,3.1,5.4,6.6,6.3,4.1,0.7,-4.0,-9.1,-7.77,-2.7,6.1,0.27,-1.35
1922,-7.3,-12.7,-2.8,-0.8,2.4,2.9,6.0,7.8,4.0,1.8,-1.3,-5.3,-9.7,-0.4,5.57,1.5,-0.44
1923,-7.4,-2.8,-2.4,-0.9,5.0,7.3,8.9,7.8,4.9,1.7,-1.7,-5.6,-5.17,0.57,8.0,1.63,1.23
1924,-5.1,-3.9,-2.8,0.6,4.8,8.3,7.3,8.3,5.1,2.0,-2.3,-7.3,-4.87,0.87,7.97,1.6,1.25
1925,-9.3,-10.5,-4.1,-0.6,4.3,5.6,6.5,6.9,5.8,4.0,-0.1,-0.8,-9.03,-0.13,6.33,3.23,0.64
1926,-3.5,-3.3,-2.8,1.8,5.9,7.7,7.6,8.3,5.0,3.6,-3.0,-3.7,-2.53,1.63,7.87,1.87,1.97
1927,-5.0,-5.5,-3.0,0.5,6.1,8.1,8.3,8.6,6.6,3.7,-2.9,-2.3,-4.73,1.2,8.33,2.47,1.93
1928,-6.4,-8.3,-2.5,1.0,5.8,8.6,9.2,9.8,6.2,3.0,-1.0,-5.5,-5.67,1.43,9.2,2.73,1.66
1929,0.1,-2.9,1.5,3.6,5.4,9.8,8.4,9.4,5.2,1.0,-2.3,-7.4,-2.77,3.5,9.2,1.3,2.65
1930,-6.6,-6.1,-1.6,1.3,6.2,7.3,8.2,6.8,6.4,0.7,-3.7,-6.4,-6.7,1.97,7.43,1.13,1.04
1931,-3.5,-6.9,-6.6,-0.4,5.4,7.2,8.2,9.0,7.5,2.0,-6.0,-6.4,-5.6,-0.53,8.13,1.17,0.79
1932,-9.3,0.3,2.4,2.8,6.4,7.7,9.4,7.9,6.2,3.2,-2.6,-8.2,-5.13,3.87,8.33,2.27,2.18
1933,-9.4,-4.5,-5.4,-0.1,5.8,6.8,8.7,8.1,5.6,2.1,-0.2,-4.4,-7.37,0.1,7.87,2.5,1.09
1934,-8.1,-5.1,-6.8,1.4,2.6,7.2,8.6,7.9,5.0,1.5,-1.9,-2.1,-5.87,-0.93,7.9,1.53,0.85
1935,-5.8,-7.5,-2.6,2.9,7.6,7.3,7.8,9.0,5.9,1.3,-4.0,-2.2,-5.13,2.63,8.03,1.07,1.64
1936,0.0,-0.2,-2.4,1.7,4.0,7.0,8.9,8.3,6.5,2.3,-1.5,-8.0,-0.8,1.1,8.07,2.43,2.22
1937,-9.1,-7.3,0.7,-1.8,2.9,6.9,7.7,7.5,5.3,1.4,0.3,-5.6,-8.13,0.6,7.37,2.33,0.74
1938,-9.6,-7.5,-6.8,-2.2,3.8,5.7,6.6,7.7,4.8,-1.4,-6.3,-8.4,-7.57,-1.73,6.67,-0.97,-1.13
1939,-4.2,-10.1,-6.0,1.4,3.8,6.9,8.9,7.8,7.0,3.6,-1.3,-1.2,-7.57,-0.27,7.87,3.1,1.38
1940,-2.5,-0.1,-1.4,1.0,4.1,5.0,7.2,7.1,4.5,3.7,-2.9,-3.1,-1.27,1.23,6.43,1.77,1.88
1941,-1.5,-2.3,0.0,2.1,6.1,7.1,8.0,9.3,5.8,3.8,-1.7,-5.4,-2.3,2.73,8.13,2.63,2.61
1942,-6.9,2.3,-1.5,-1.0,5.5,7.6,8.8,8.6,5.2,0.9,0.8,2.0,-3.33,1.0,8.33,2.3,2.69
1943,-0.4,-6.2,-6.6,-2.1,2.8,6.9,7.4,7.4,5.0,-0.6,-1.5,-4.9,-1.53,-1.97,7.23,0.97,0.6
1944,-8.4,-4.3,-1.7,0.7,2.9,6.3,7.7,8.0,4.6,1.6,-5.2,-6.9,-5.87,0.63,7.33,0.33,0.44
1945,-3.3,-9.2,-3.0,-1.9,4.7,7.1,7.6,7.4,4.6,3.4,-1.9,-0.6,-6.47,-0.07,7.37,2.03,1.24
1946,-7.2,-2.7,-0.8,-1.1,5.0,6.2,6.8,8.6,4.8,2.3,1.2,-1.8,-3.5,1.03,7.2,2.77,1.78
1947,-4.3,0.4,-0.2,0.7,5.0,8.2,8.3,7.5,5.4,2.8,-1.0,-0.4,-1.9,1.83,8.0,2.4,2.7
1948,-4.7,-5.9,-6.1,-0.5,3.7,8.5,8.8,9.2,5.1,0.6,-3.9,-4.9,-3.67,-0.97,8.83,0.6,0.82
